% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.654	1	1	66	5	2	28	1095	0
0.655	1	2	66	6	1	28	1095	0
0.655	1	1	66	6	2	28	1095	0
0.656	1	2	66	7	1	28	1095	0
0.656	1	1	66	7	2	28	1095	0
0.657	1	2	66	8	1	28	1095	0
0.657	1	1	66	8	2	28	1095	0
0.658	1	2	66	9	1	28	1095	0
0.658	1	1	66	9	2	28	1095	0
0.659	1	2	66	10	1	28	1095	0
0.659	1	1	66	10	2	28	1095	0
0.66	1	2	67	1	1	28	1095	0
0.66	1	1	67	1	2	28	1095	0
0.661	1	2	67	2	1	28	1095	0
0.661	1	1	67	2	2	28	1095	0
0.662	1	2	67	3	1	28	1095	0
0.662	1	1	67	3	2	28	1095	0
0.663	1	2	67	4	1	28	1095	0
0.663	1	1	67	4	2	28	1095	0
0.664	1	2	67	5	1	28	1095	0
0.664	1	1	67	5	2	28	1095	0
0.665	1	2	67	6	1	28	1095	0
0.665	1	1	67	6	2	28	1095	0
0.666	1	2	67	7	1	28	1095	0
0.666	1	1	67	7	2	28	1095	0
0.667	1	2	67	8	1	28	1095	0
0.667	1	1	67	8	2	28	1095	0
0.668	1	2	67	9	1	28	1095	0
0.668	1	1	67	9	2	28	1095	0
0.669	1	2	67	10	1	28	1095	0
0.669	1	1	67	10	2	28	1095	0
0.67	1	2	68	1	1	28	1095	0
0.67	1	1	68	1	2	28	1095	0
0.671	1	2	68	2	1	28	1095	0
0.671	1	1	68	2	2	28	1095	0
0.672	1	2	68	3	1	28	1095	0
0.672	1	1	68	3	2	28	1095	0
0.673	1	2	68	4	1	28	1095	0
0.673	1	1	68	4	2	28	1095	0
0.674	1	2	68	5	1	28	1095	0
0.674	1	1	68	5	2	28	1095	0
0.675	1	2	68	6	1	28	1095	0
0.675	1	1	68	6	2	28	1095	0
0.676	1	2	68	7	1	28	1095	0
0.676	1	1	68	7	2	28	1095	0
0.677	1	2	68	8	1	28	1095	0
0.677	1	1	68	8	2	28	1095	0
0.678	1	2	68	9	1	28	1095	0
0.678	1	1	68	9	2	28	1095	0
0.679	1	2	68	10	1	28	1095	0
0.679	1	1	68	10	2	28	1095	0
0.68	1	2	69	1	1	28	1095	0
0.68	1	1	69	1	2	28	1095	0
0.681	1	2	69	2	1	28	1095	0
0.681	1	1	69	2	2	28	1095	0
0.682	1	2	69	3	1	28	1095	0
0.682	1	1	69	3	2	28	1095	0
0.683	1	2	69	4	1	28	1095	0
0.683	1	1	69	4	2	28	1095	0
0.684	1	2	69	5	1	28	1095	0
0.684	1	1	69	5	2	28	1095	0
0.685	1	2	69	6	1	28	1095	0
0.685	1	1	69	6	2	28	1095	0
0.686	1	2	69	7	1	28	1095	0
0.686	1	1	69	7	2	28	1095	0
0.687	1	2	69	8	1	28	1095	0
0.687	1	1	69	8	2	28	1095	0
0.688	1	2	69	9	1	28	1095	0
0.688	1	1	69	9	2	28	1095	0
